Datetime,Open,High,Low,Close,Volume
2024-01-01 17:00:00,1.10427,1.10433,1.10423,1.10431,0
2024-01-01 17:15:00,1.1043,1.10434,1.1042,1.1043,0
2024-01-01 17:30:00,1.10431,1.10437,1.10431,1.10433,0
2024-01-01 17:45:00,1.10426,1.10447,1.10423,1.10438,0
2024-01-01 18:00:00,1.10446,1.10446,1.10383,1.10383,0
2024-01-01 18:15:00,1.10383,1.10383,1.1037,1.10376,0
2024-01-01 18:30:00,1.10376,1.10383,1.10361,1.10367,0
2024-01-01 18:45:00,1.10367,1.10373,1.10356,1.10365,0
2024-01-01 19:00:00,1.10366,1.1038,1.10366,1.10371,0
2024-01-01 19:15:00,1.10372,1.10373,1.10342,1.10346,0
2024-01-01 19:30:00,1.10346,1.10358,1.10345,1.10357,0
2024-01-01 19:45:00,1.10357,1.10383,1.10357,1.10381,0
2024-01-01 20:00:00,1.1038,1.10432,1.10375,1.10388,0
2024-01-01 20:15:00,1.10387,1.10431,1.10386,1.10393,0
2024-01-01 20:30:00,1.10394,1.10397,1.10369,1.10382,0
2024-01-01 20:45:00,1.10383,1.10399,1.10342,1.10348,0
2024-01-01 21:00:00,1.10347,1.10359,1.10314,1.10318,0
2024-01-01 21:15:00,1.10317,1.10317,1.10262,1.10262,0
2024-01-01 21:30:00,1.10265,1.10268,1.10221,1.10236,0
2024-01-01 21:45:00,1.10237,1.1024,1.10182,1.10187,0
2024-01-01 22:00:00,1.10187,1.10236,1.10176,1.10222,0
2024-01-01 22:15:00,1.10222,1.1024,1.10206,1.10213,0
2024-01-01 22:30:00,1.10216,1.1023,1.10206,1.1023,0
2024-01-01 22:45:00,1.10231,1.10247,1.10231,1.10245,0
2024-01-01 23:00:00,1.10245,1.1025,1.10207,1.10218,0
2024-01-01 23:15:00,1.10222,1.10224,1.10192,1.10192,0
2024-01-01 23:30:00,1.10194,1.10204,1.10173,1.10174,0
2024-01-01 23:45:00,1.10174,1.10211,1.10165,1.10208,0
2024-01-02 00:00:00,1.10208,1.10252,1.10208,1.1025,0
2024-01-02 00:15:00,1.10254,1.10281,1.10247,1.10265,0
2024-01-02 00:30:00,1.10265,1.10303,1.10265,1.103,0
2024-01-02 00:45:00,1.10301,1.10335,1.10292,1.10333,0
2024-01-02 01:00:00,1.10334,1.10342,1.10316,1.10322,0
2024-01-02 01:15:00,1.10322,1.10337,1.103,1.1032,0
2024-01-02 01:30:00,1.1032,1.10347,1.10309,1.10335,0
2024-01-02 01:45:00,1.10336,1.10351,1.10268,1.10286,0
2024-01-02 02:00:00,1.10286,1.1031,1.10245,1.10281,0
2024-01-02 02:15:00,1.1028,1.10377,1.10276,1.10372,0
2024-01-02 02:30:00,1.10371,1.1038,1.10298,1.10299,0
2024-01-02 02:45:00,1.10299,1.10314,1.10151,1.10153,0
2024-01-02 03:00:00,1.10156,1.10387,1.10156,1.10323,0
2024-01-02 03:15:00,1.10321,1.10341,1.10276,1.10288,0
2024-01-02 03:30:00,1.10288,1.10329,1.1028,1.10291,0
2024-01-02 03:45:00,1.10293,1.10329,1.10253,1.10295,0
2024-01-02 04:00:00,1.10296,1.10363,1.10289,1.10352,0
2024-01-02 04:15:00,1.10351,1.10378,1.10331,1.10332,0
2024-01-02 04:30:00,1.10332,1.10351,1.10189,1.10196,0
2024-01-02 04:45:00,1.10194,1.10199,1.10107,1.1015,0
2024-01-02 05:00:00,1.10149,1.1017,1.0997,1.1,0
2024-01-02 05:15:00,1.09999,1.10055,1.09994,1.10039,0
